name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;304;0;441;3035;1347;3035;1324;0
header;100;120;100;152;1713;152;1713;120
A;891;183;891;210;912;210;912;183
B;1001;463;1001;481;1017;481;1017;463
B;891;921;891;948;911;948;911;921
B;1031;1063;1031;1083;1045;1083;1045;1063
A;1084;1585;1084;1598;1092;1598;1092;1585
C;883;1595;883;1625;904;1625;904;1595
B;1232;2291;1232;2305;1255;2305;1255;2291
B;980;2294;980;2309;1003;2309;1003;2294
B;687;2298;687;2313;708;2313;708;2298
B;410;2299;410;2314;431;2314;431;2299
D;886;2410;886;2439;909;2439;909;2410
A;539;2584;539;2612;556;2612;556;2584
A;712;2584;712;2610;726;2610;726;2584
A;675;2776;675;2778;676;2778;676;2776
A;918;2866;918;2893;944;2893;944;2866
