name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;251;0;411;3043;1605;3043;1331;0
header;101;159;101;189;1728;189;1728;159
A;586;112;586;120;594;120;594;112
A;606;123;606;126;609;126;609;123
A;904;224;904;252;927;252;927;224
B;1255;274;1255;292;1272;292;1272;274
B;903;906;903;936;923;936;923;906
D;939;998;939;1025;972;1025;972;998
C;901;1581;901;1609;921;1609;921;1581
B;1080;1721;1080;1748;1089;1748;1089;1721
A;1138;1851;1138;1852;1139;1852;1139;1851
A;904;1858;904;1858;904;1858;904;1858
C;1183;1888;1183;1916;1204;1916;1204;1888
B;478;1968;478;1990;495;1990;495;1968
D;901;2414;901;2442;923;2442;923;2414
A;637;2555;637;2561;643;2561;643;2555
A;537;2855;537;2865;542;2865;542;2855
A;408;2931;408;2932;409;2932;409;2931
